dataset,scenario,patch,method_name,repeat_count,best_cost,median_cost,p10_cost,p90_cost,std_cost,best_critical_load_served_fraction,median_runtime_seconds,feasibility_rate
pglib_case14_adapted,pcc_failure,BUS14_MG-BUS1_MG,CMPO-V2 + QCi Dirac-3,30,95.38039572803396,99.24203548403396,99.24203546603398,99.24203548403396,0.6957127957176946,1.0,433.0,1.0
pglib_case14_adapted,pcc_failure,BUS1_MG,CMPO + QCi Dirac-3,30,3.3445153166006594,3.3445153166006683,3.3445153166006665,3.3445153166006705,2.814512081444016e-15,0.0,33.0,1.0
pglib_case14_adapted,pcc_failure,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,3.3445153166006594,3.3445153166006705,3.3445153166006665,7.939084818693081,2.105496252907404,1.0,31.0,1.0
pglib_case14_adapted,pcc_failure,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,30,68.35670145562554,133.46053053191375,91.43090766768586,143.49711934967985,21.33849399067267,1.0,435.0,1.0
pglib_case14_adapted,pcc_failure,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,160.1098801086931,172.43452642502098,163.55398518224146,177.3830908713801,5.716801046659971,1.0,432.0,1.0
pglib_case14_adapted,pcc_failure,BUS2_MG,CMPO + QCi Dirac-3,30,129.60976008642288,141.3865085053409,134.0312924192771,148.13386850534087,5.65697664749612,0.0,31.0,1.0
pglib_case14_adapted,pcc_failure,BUS2_MG,CMPO-V2 + QCi Dirac-3,30,132.2317075933409,150.94810850534088,138.49579250534092,175.50895250534091,15.774988450640159,1.0,30.0,1.0
pglib_case14_adapted,pcc_failure,BUS3_MG,CMPO + QCi Dirac-3,30,29.925515665340903,30.890075665340905,30.890075665340895,30.890075665340905,0.20004336327156713,0.0,31.0,1.0
pglib_case14_adapted,pcc_failure,BUS3_MG,CMPO-V2 + QCi Dirac-3,30,30.890075665340905,30.890075665340905,30.890075665340905,108.68328,30.91232364395646,1.0,30.0,1.0
pglib_case14_adapted,pcc_failure,BUS3_MG-BUS4_MG,CMPO + QCi Dirac-3,30,116.61442590589444,154.670885046,118.57531139667499,219.80160134625004,46.40383500434862,1.0,432.0,1.0
pglib_case14_adapted,pcc_failure,BUS3_MG-BUS4_MG,CMPO-V2 + QCi Dirac-3,30,237.30964323600003,262.0885112852419,252.82564065360683,272.72762023229996,9.460549290301259,1.0,431.0,1.0
pglib_case14_adapted,pcc_failure,BUS4_MG,CMPO + QCi Dirac-3,30,124.33936466534092,144.39496032442045,133.2218585533409,155.02134884999998,8.729415733450507,0.0,31.0,1.0
pglib_case14_adapted,pcc_failure,BUS4_MG,CMPO-V2 + QCi Dirac-3,30,124.32407575334088,158.72763694717045,134.55035440093408,219.3994623949409,32.66312303734686,1.0,31.0,1.0
pglib_case14_adapted,pcc_failure,BUS4_MG-BUS9_MG,CMPO + QCi Dirac-3,30,169.2569553616493,255.67866164767048,191.51672610988177,291.5321860675341,39.06206063278301,1.0,434.0,1.0
pglib_case14_adapted,pcc_failure,BUS4_MG-BUS9_MG,CMPO-V2 + QCi Dirac-3,30,274.3069546635,304.86826232001135,290.3826248387681,320.90836277338406,12.381118106999173,1.0,431.0,1.0
pglib_case14_adapted,pcc_failure,BUS9_MG,CMPO + QCi Dirac-3,30,118.44538975334092,128.91619437667043,124.9062938653409,132.1301906653409,3.1829109749622817,0.0,31.0,1.0
pglib_case14_adapted,pcc_failure,BUS9_MG,CMPO-V2 + QCi Dirac-3,30,125.2685906653409,162.98622321134093,129.1731505741409,164.9141306653409,16.543788495992484,1.0,30.0,1.0
pglib_case14_adapted,renewable_shortfall,BUS14_MG,CMPO + QCi Dirac-3,30,75.3232490653409,75.3232490653409,75.3232490653409,75.3232490653409,2.842170943040401e-14,0.0,31.0,1.0
pglib_case14_adapted,renewable_shortfall,BUS14_MG,CMPO-V2 + QCi Dirac-3,30,75.3232490653409,75.3232490653409,75.3232490653409,91.4088122653409,8.024888849026542,1.0,31.0,1.0
